planner,config_variant,metric,count,total_runs,action_success_count,action_success_rate,static_footprint_valid_count,static_footprint_valid_rate,final_valid_success_count,final_valid_success_rate,collision_path_count,mean,std,P50,P95,P99,min,max
smac_hybrid,normalized,euclidean_distance_m,50,50,50,1.0,40,0.8,40,0.8,10,21.056678798969322,6.860808392084242,21.625483490613096,35.05567001213926,35.05567001213926,12.969194269498782,35.05567001213926
smac_hybrid,normalized,length_over_euclidean,50,50,50,1.0,40,0.8,40,0.8,10,1.3519963008825386,0.23410388706964685,1.2535523495321486,1.8794013687171676,1.8794013687171676,1.100865555127826,1.8794013687171676
smac_hybrid,normalized,length_over_navfn,40,50,50,1.0,40,0.8,40,0.8,10,1.0127773294516915,0.032915005507740416,1.0087715574335512,1.0686118986692255,1.0686118986692255,0.9709282190629202,1.0686118986692255
smac_hybrid,normalized,length_over_shortest_observed_valid,40,50,50,1.0,40,0.8,40,0.8,10,1.019845901665375,0.025894587872791395,1.0087715574335512,1.0686118986692255,1.0686118986692255,1.0,1.0686118986692255
smac_hybrid,normalized,minimum_clearance_m,50,50,50,1.0,40,0.8,40,0.8,10,0.39984499514102934,0.07981094473514967,0.4000000059604645,0.5492249727249146,0.5492249727249146,0.2598449885845184,0.5492249727249146
smac_hybrid,normalized,clearance_p05_m,50,50,50,1.0,40,0.8,40,0.8,10,0.536829486489296,0.08906521106867978,0.509844958782196,0.75,0.75,0.4500000178813934,0.75
smac_hybrid,normalized,clearance_p50_m,50,50,50,1.0,40,0.8,40,0.8,10,0.8757984876632691,0.1524261456445389,0.9049225151538849,1.2000000476837158,1.2000000476837158,0.6500000357627869,1.2000000476837158
smac_hybrid,normalized,footprint_collision_count,50,50,50,1.0,40,0.8,40,0.8,10,0.2,0.4040610178208843,0.0,1.0,1.0,0.0,1.0
smac_hybrid,normalized,heading_change_p95_rad,50,50,50,1.0,40,0.8,40,0.8,10,0.04638919976624829,0.01119204850806424,0.05205715833777175,0.0581776301066083,0.0581776301066083,0.0205165022286383,0.0581776301066083
smac_hybrid,normalized,curvature_p95_per_m,50,50,50,1.0,40,0.8,40,0.8,10,1.7199464031782181,0.3977906342406457,1.6129898271392165,2.6037009545731924,2.6037009545731924,1.268767772464414,2.6037009545731924
smac_hybrid,normalized,preferred_radius_violation_count,50,50,50,1.0,40,0.8,40,0.8,10,49.8,13.596217961519404,49.5,73.0,73.0,32.0,73.0
smac_hybrid,normalized,in_place_rotation_count,50,50,50,1.0,40,0.8,40,0.8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smac_hybrid,normalized,reverse_distance_m,50,50,50,1.0,40,0.8,40,0.8,10,0.9571879325788702,0.8405067506305338,0.5651578978450033,2.466265959091617,2.466265959091617,0.0,2.466265959091617
smac_hybrid,normalized,reverse_ratio,50,50,50,1.0,40,0.8,40,0.8,10,0.0362570880757559,0.029329394418291622,0.02885902252432155,0.0919483725971479,0.0919483725971479,0.0,0.0919483725971479
smac_hybrid,product,planning_time_ms,50,50,40,0.8,35,0.7,35,0.7,5,51.14152195999999,52.01510155683306,29.8045,143.48232985,145.02708609,0.0,145.055829
smac_hybrid,product,wall_time_ms,50,50,40,0.8,35,0.7,35,0.7,5,134.97507056,180.21830188243553,62.7223835,615.3911226,655.6330989699999,12.175203,680.3988
smac_hybrid,product,cpu_total_ms,50,50,40,0.8,35,0.7,35,0.7,5,116.2,179.04383228011798,40.0,621.0,660.3999999999999,10.0,680.0
